,iou,detect
TCGA_HT_7881_19981015_1.tif,100,All_TN
TCGA_HT_7881_19981015_10.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_11.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_12.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_13.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_14.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_15.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_16.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_17.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_18.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_19.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_2.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_20.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_21.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_22.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_23.tif,26.041666666666668,Detect
TCGA_HT_7881_19981015_24.tif,51.515151515151516,Detect
TCGA_HT_7881_19981015_25.tif,71.83544303797468,Detect
TCGA_HT_7881_19981015_26.tif,60.203045685279186,Detect
TCGA_HT_7881_19981015_27.tif,61.317567567567565,Detect
TCGA_HT_7881_19981015_28.tif,66.54960491659351,Detect
TCGA_HT_7881_19981015_29.tif,78.39931153184165,Detect
TCGA_HT_7881_19981015_3.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_30.tif,78.86513157894737,Detect
TCGA_HT_7881_19981015_31.tif,76.09254498714652,Detect
TCGA_HT_7881_19981015_32.tif,83.27402135231317,Detect
TCGA_HT_7881_19981015_33.tif,82.99748110831234,Detect
TCGA_HT_7881_19981015_34.tif,80.78902229845626,Detect
TCGA_HT_7881_19981015_35.tif,69.90291262135922,Detect
TCGA_HT_7881_19981015_36.tif,53.47222222222222,Detect
TCGA_HT_7881_19981015_37.tif,11.214953271028037,Detect
TCGA_HT_7881_19981015_38.tif,0.0,No_detect
TCGA_HT_7881_19981015_39.tif,0.0,No_detect
TCGA_HT_7881_19981015_4.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_40.tif,100,All_TN
TCGA_HT_7881_19981015_41.tif,100,All_TN
TCGA_HT_7881_19981015_42.tif,100,All_TN
TCGA_HT_7881_19981015_43.tif,100,All_TN
TCGA_HT_7881_19981015_44.tif,100,All_TN
TCGA_HT_7881_19981015_45.tif,100,All_TN
TCGA_HT_7881_19981015_46.tif,100,All_TN
TCGA_HT_7881_19981015_47.tif,100,All_TN
TCGA_HT_7881_19981015_48.tif,100,All_TN
TCGA_HT_7881_19981015_49.tif,100,All_TN
TCGA_HT_7881_19981015_5.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_50.tif,100,All_TN
TCGA_HT_7881_19981015_51.tif,100,All_TN
TCGA_HT_7881_19981015_52.tif,100,All_TN
TCGA_HT_7881_19981015_53.tif,100,All_TN
TCGA_HT_7881_19981015_54.tif,100,All_TN
TCGA_HT_7881_19981015_55.tif,100,All_TN
